id,community
1,0
2,1
3,0
4,1
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,1
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,1
61,0
62,1
63,0
64,1
65,0
66,0
67,0
68,0
69,0
70,0
71,1
72,0
73,0
74,0
75,0
76,0
77,1
78,1
79,1
80,0
81,0
82,0
83,1
84,0
85,0
86,0
87,0
88,0
89,1
90,0
91,0
92,0
93,0
94,0
95,0
96,1
97,1
98,1
99,0
100,1
101,1
102,0
103,1
104,0
105,0
106,1
107,1
108,1
109,1
110,0
111,0
112,0
113,0
114,1
115,1
116,1
117,0
118,1
119,0
120,0
121,0
122,1
123,1
124,0
125,1
126,0
127,1
128,1
129,1
130,1
131,0
132,1
133,1
134,0
135,0
136,1
137,1
138,0
139,0
140,0
141,1
142,0
143,1
144,1
145,0
146,0
147,1
148,0
149,0
150,1
151,1
152,1
153,1
154,1
155,1
156,0
157,0
158,0
159,0
160,1
161,1
162,1
163,1
164,0
165,0
166,0
167,1
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,1
177,0
178,0
179,1
180,1
181,1
182,1
183,1
184,1
185,0
186,0
187,0
188,0
189,0
190,1
191,0
192,0
193,1
194,1
195,0
196,0
197,0
198,0
199,0
200,1
201,0
202,0
203,0
204,0
205,0
206,1
207,0
208,0
209,1
210,1
211,1
212,1
213,1
214,1
215,0
216,0
217,1
218,1
219,1
220,0
221,1
222,1
223,1
224,1
225,0
226,0
227,0
228,1
229,0
230,0
231,0
232,0
233,0
234,0
235,1
236,0
237,0
238,0
239,0
240,0
241,1
242,1
243,1
244,0
245,0
246,1
247,0
248,0
249,1
250,0
251,1
252,1
253,1
254,1
255,0
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,0
267,1
268,1
269,1
270,1
271,0
272,1
273,0
274,1
275,1
276,1
277,1
278,1
279,0
280,0
281,0
282,1
283,0
284,1
285,1
286,1
287,0
288,1
289,0
290,1
291,1
292,0
293,1
294,0
295,0
296,1
297,0
298,1
299,1
300,1
301,1
302,0
303,1
304,1
305,1
306,1
307,0
308,1
309,0
310,1
311,0
312,0
313,1
314,0
315,0
316,1
317,1
318,1
319,0
320,0
321,0
322,1
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,1
333,1
334,1
335,1
336,0
337,1
338,1
339,0
340,0
341,1
342,1
343,0
344,0
345,0
346,1
347,1
348,0
349,0
350,1
351,0
352,0
353,1
354,0
355,1
356,1
357,1
358,1
359,0
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,0
368,1
369,1
370,1
371,0
372,0
373,0
374,0
375,1
376,1
377,1
378,1
379,1
380,0
381,1
382,0
383,1
384,1
385,1
386,1
387,1
388,1
389,0
390,0
391,1
392,0
393,0
394,1
395,0
396,1
397,1
398,0
399,1
400,1
401,1
402,0
403,1
404,0
405,1
406,1
407,0
408,0
409,1
410,1
411,1
412,0
413,1
414,1
415,1
416,0
417,1
418,1
419,1
420,1
