id,community
1,0
2,1
3,28
4,3
5,28
6,28
7,28
8,28
9,28
10,2
11,2
12,2
13,4
14,4
15,2
16,2
17,2
18,4
19,2
20,4
21,2
22,2
23,2
24,2
25,4
26,4
27,4
28,4
29,4
30,2
31,4
32,2
33,5
34,2
35,4
36,4
37,4
38,2
39,6
40,4
41,2
42,2
43,4
44,4
45,2
46,4
47,4
48,2
49,7
50,2780
51,2
52,2
53,8
54,2
55,4
56,2
57,4
58,2
59,28
60,9
61,28
62,3188
63,28
64,10
65,28
66,28
67,28
68,28
69,28
70,28
71,11
72,28
73,28
74,764
75,28
76,28
77,12
78,13
79,14
80,28
81,28
82,28
83,15
84,28
85,16
86,28
87,28
88,28
89,17
90,28
91,28
92,28
93,28
94,28
95,3188
96,18
97,19
98,20
99,28
100,21
101,22
102,4542
103,23
104,764
105,24
106,25
107,26
108,4644
109,27
110,28
111,28
112,29
113,28
114,30
115,30
116,30
117,28
118,31
119,28
120,28
121,5215
122,30
123,30
124,32
125,4644
126,33
127,89
128,34
129,30
130,30
131,28
132,30
133,30
134,28
135,28
136,35
137,30
138,764
139,3188
140,89
141,30
142,28
143,39
144,36
145,28
146,28
147,37
148,28
149,28
150,37
151,30
152,38
153,37
154,37
155,39
156,28
157,28
158,40
159,41
160,39
161,5215
162,37
163,42
164,43
165,43
166,43
167,4644
168,2780
169,43
170,2780
171,43
172,44
173,45
174,2780
175,1377
176,46
177,1377
178,89
179,89
180,89
181,47
182,48
183,89
184,49
185,131
186,131
187,50
188,1377
189,1377
190,51
191,1377
192,1377
193,89
194,52
195,1377
196,1377
197,1377
198,1377
199,89
200,208
201,4
202,4
203,2
204,53
205,1377
206,54
207,1377
208,43
209,55
210,56
211,56
212,56
213,56
214,56
215,57
216,58
217,56
218,59
219,56
220,3188
221,59
222,59
223,56
224,56
225,3188
226,764
227,89
228,4644
229,764
230,1377
231,1377
232,1377
233,3188
234,3188
235,60
236,3188
237,61
238,1377
239,1377
240,1377
241,1744
242,62
243,62
244,1377
245,63
246,4644
247,1377
248,1377
249,4644
250,1377
251,4644
252,64
253,65
254,64
255,764
256,66
257,64
258,64
259,64
260,64
261,64
262,67
263,64
264,64
265,64
266,68
267,64
268,64
269,64
270,64
271,764
272,69
273,70
274,71
275,72
276,334
277,73
278,74
279,75
280,764
281,76
282,3188
283,764
284,77
285,78
286,67
287,79
288,67
289,80
290,81
291,82
292,3188
293,83
294,764
295,764
296,84
297,89
298,85
299,86
300,3188
301,83
302,764
303,83
304,83
305,83
306,83
307,764
308,87
309,764
310,88
311,3188
312,1377
313,3188
314,254
315,764
316,37
317,39
318,83
319,1377
320,3188
321,764
322,3188
323,617
324,254
325,254
326,254
327,764
328,254
329,764
330,1377
331,254
332,89
333,90
334,83
335,91
336,92
337,83
338,93
339,28
340,1377
341,94
342,37
343,764
344,764
345,254
346,37
347,39
348,254
349,28
350,39
351,764
352,764
353,95
354,28
355,96
356,83
357,83
358,97
359,98
360,39
361,39
362,99
363,99
364,100
365,99
366,101
367,764
368,101
369,101
370,102
371,103
372,104
373,105
374,106
375,107
376,108
377,109
378,99
379,110
380,111
381,112
382,113
383,114
384,99
385,115
386,99
387,116
388,117
389,118
390,119
391,120
392,121
393,122
394,123
395,124
396,125
397,126
398,127
399,334
400,56
401,128
402,764
403,3188
404,1377
405,129
