id,community
1,0
2,1
3,2
4,3
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,4
34,2
35,2
36,2
37,2
38,2
39,5
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,6
50,7
51,2
52,2
53,8
54,2
55,2
56,2
57,2
58,2
59,2
60,9
61,2
62,10
63,2
64,11
65,2
66,2
67,2
68,2
69,2
70,2
71,12
72,2
73,2
74,10
75,2
76,2
77,13
78,14
79,15
80,2
81,2
82,2
83,16
84,2
85,17
86,2
87,2
88,2
89,18
90,2
91,2
92,2
93,2
94,2
95,10
96,19
97,20
98,21
99,2
100,22
101,23
102,10
103,24
104,10
105,25
106,26
107,27
108,28
109,29
110,2
111,2
112,30
113,2
114,2
115,2
116,2
117,2
118,31
119,2
120,2
121,32
122,2
123,2
124,33
125,34
126,35
127,36
128,37
129,2
130,2
131,2
132,2
133,2
134,2
135,2
136,38
137,2
138,10
139,10
140,39
141,2
142,2
143,40
144,41
145,2
146,2
147,42
148,2
149,2
150,42
151,2
152,43
153,42
154,42
155,40
156,2
157,2
158,44
159,45
160,40
161,46
162,42
163,47
164,48
165,48
166,48
167,28
168,49
169,48
170,49
171,48
172,50
173,51
174,49
175,52
176,53
177,52
178,39
179,36
180,36
181,54
182,55
183,36
184,56
185,57
186,57
187,58
188,52
189,52
190,59
191,52
192,52
193,36
194,60
195,52
196,52
197,52
198,61
199,39
200,62
201,2
202,2
203,2
204,63
205,61
206,64
207,52
208,48
209,65
210,66
211,66
212,66
213,66
214,66
215,67
216,68
217,66
218,69
219,66
220,10
221,69
222,69
223,66
224,66
225,10
226,10
227,39
228,28
229,10
230,52
231,61
232,52
233,10
234,10
235,70
236,10
237,71
238,61
239,61
240,52
241,10
242,72
243,72
244,61
245,73
246,34
247,61
248,61
249,34
250,61
251,34
252,74
253,75
254,74
255,10
256,76
257,74
258,74
259,74
260,74
261,74
262,77
263,74
264,74
265,74
266,78
267,74
268,74
269,74
270,74
271,10
272,79
273,80
274,81
275,82
276,83
277,84
278,85
279,86
280,10
281,87
282,88
283,10
284,89
285,90
286,77
287,91
288,77
289,92
290,93
291,94
292,10
293,95
294,10
295,10
296,96
297,39
298,97
299,98
300,88
301,95
302,10
303,95
304,95
305,95
306,95
307,10
308,99
309,10
310,100
311,10
312,52
313,88
314,101
315,10
316,42
317,40
318,95
319,52
320,102
321,10
322,88
323,10
324,101
325,101
326,101
327,10
328,101
329,10
330,52
331,101
332,36
333,103
334,95
335,104
336,105
337,95
338,106
339,2
340,61
341,107
342,42
343,10
344,10
345,101
346,42
347,40
348,101
349,2
350,40
351,10
352,10
353,108
354,2
355,109
356,95
357,95
358,110
359,111
360,40
361,40
362,112
363,112
364,113
365,112
366,114
367,10
368,114
369,114
370,115
371,116
372,117
373,118
374,119
375,120
376,121
377,122
378,112
379,123
380,124
381,125
382,126
383,127
384,112
385,128
386,112
387,129
388,130
389,131
390,132
391,133
392,134
393,135
394,136
395,137
396,138
397,139
398,140
399,83
400,66
401,141
402,10
403,142
404,61
405,143
406,144
407,57
408,49
409,66
410,145
411,66
412,10
413,66
414,146
415,147
416,148
417,66
418,149
419,150
420,149
